RANDOM TREE ID;NUMBER OF NODES IN TREE;TOTAL COST OF INORDER_NEXT OPERATION
1;72;142
2;59;116
3;75;148
4;92;182
5;92;182
6;52;102
7;82;162
8;88;174
9;80;158
10;84;166
11;57;112
12;56;110
13;69;136
14;66;130
15;92;182
16;60;118
17;85;168
18;65;128
19;84;166
20;94;186
21;96;190
22;82;162
23;75;148
24;91;180
25;59;116
26;92;182
27;55;108
28;61;120
29;69;136
30;88;174
31;67;132
32;90;178
33;68;134
34;90;178
35;54;106
36;58;114
37;52;102
38;93;184
39;85;168
40;86;170
41;85;168
42;99;196
43;66;130
44;51;100
45;79;156
46;97;192
47;89;176
48;65;128
49;70;138
50;57;112
